mandarin,wu
问我 放学以后和我走的那些男生是谁,问吾 放学以后和吾走辣一道呃男生是撒拧
那就早点睡觉吧！晚安,搿就早点困觉伐！夜到会
或者你去医院消消毒,或者侬去医院消消毒
切 一个字就把我打发咯！,吃一个字就拿吾打发咯！
在家和谁玩,辣海屋里向和撒拧孛相
我不想成一个千古罪人,吾伐想成为一个千古罪人
到时候再去接嘛！,到辰光再去接嘛！
停电了 早点睡 明天给你电话,停电了早点困 明朝帮侬打电话
我咋了 你意思是说我不主动啊,吾哪能了，侬意思是讲吾没主动啊。
你要对自己好点！,侬要对自家好一眼！
有时地点见我,有辰光地点见吾
那你们什么时候去那放啊,那么那撒辰光去埃的
就当我们有缘无份吧。,就当阿拉有缘无份伐。
我的心里只有你 麽！,吾呃心里只有侬吗！
喝酒或是唱歌呢？,吃老酒还是唱歌呢？
我想见你你能出来吗！,吾想见侬侬好出来伐！
你着急嫁人也不至于这样吧！,侬急了嫁拧啊伐至于搿样子伐！
天气不好 你怎么回来那么晚,天气伐好 侬哪能回来介晚
关掉收音机，好吗？,关特收音机，好伐？
谁要你的吻啊？不给算了,撒拧要侬呃吻啊？伐拨算了
哈哈，你妹可真够操心的。,哈哈，那阿妹可真够操心呃。
这个家必须有你，我们需要你,搿屋里相必须有侬，阿拉需要侬
我找 那就说说你呗 行不,吾找 吾就讲讲侬可以伐
摁 莪也是！总是想着迩！,摁 吾也是！总归想着侬！
不方便，对不起！,伐方便，对伐起！
还不想睡呢，要不你先睡吧,还伐想困，要么侬先困伐！
你还比我大啊？你哪年哪月的哪日呢？,侬还比吾大啊？侬啊里呃年啊里呃月啊里呃天生呃呢？
不要关那些狡猾和狐狸,伐要管那些狡猾呃狐狸
你别多想了！,侬伐要多想了！
想想以后我们的家！,想想下趟阿拉屋里！
那以后也都不要来了,搿下趟也侪伐要来了
我以为你不回我信息我哭了你信吗,吾以为侬伐回吾信息吾哭了侬相信伐
不是我想睡是我看你那么累该早点睡！,伐是吾想困是吾看侬噶吃力应该早点困！
明天什么时候考完？,明朝啥辰光考好？
恩 那好吧，对不起！你睡觉吧,恩，葛末好伐，对伐起！侬困觉吧
这条信息你还没回我呢,搿条信息侬还没回吾唻
什么时候你请我打台球哦！,啥辰光侬请吾打台球哦？
有话给你说的,有闲话帮侬讲啊
老大你好今天报表6985,老大侬好今朝报表六九八五
不是吧！你亲自喷绘么？,伐是伐！侬亲自喷绘啊？
我要睡觉了乖乖，你睡吗,吾要困觉了囡囡，侬困觉了伐
发彩信给你麽,发彩信拨侬伐
早点回吧她们也得休息回家注意安全！,早点回去伐伊拉也要休息呃回到窝里相注意安全！
累不累呀宝贝疙瘩,吃力伐宝贝
好了。下回也不要这样说了。干嘛呢？,好了。下回也伐要搿能接讲了。做撒呢？
唉 愁的我还麽去呢,唉 愁的吾还没去呢
等你回来 爸 给你过！,等侬回来，爷特侬过！
这么说是我耽误你了？,搿能讲是吾耽误侬了咯？
你若是忘掉去年七月份也就忘记我是谁,侬假使讲忘记特去年子七月份也就是忘记特吾是撒拧
她在给谁打电话呢,伊勒则撒拧打电话
所以现在没有睡觉的！,所以现在没困觉得！
我们两个去好不好。,阿拉两家头去好伐好。
臭臭老公要好好努力哦！,臭臭老公要好好努力哦！
那边的车好挡一点！,埃边呃车子好挡眼！
我受不了 以后少连系,吾受伐了 以后少连系
你睡了没？聊会行吗？速回短信,侬困了伐？聊特歇啊？呃快回短信
你好好回答姐的问题！,侬好好交回答阿姐呃问题！
老婆不是睡不着觉吗？,老婆伐是困伐着觉吗？
我知道！晚安亲爱的,吾晓得！晚安亲爱的
我不管，我只有真心爱你，对你就行了！,吾伐管，吾只有真心爱侬，对侬就是了！
我明天给你交去！睡了吗？,吾明天特侬交过去！困了伐？
那就试试吧！我也没时间理你！,葛末就试试伐！吾也没辰光睬侬！
亲爱的你还在线吗？我在等你,亲爱滴侬还辣海线稿头伐？吾辣等侬
呵呵，还挺哲理啊！,呵呵，还挺哲理呃！
我贾冰 你周六生日？,吾贾冰 侬礼拜六生日啊？
宝贝怎么不喝牛奶呀,宝贝哪能伐吃牛奶啊
你不要说傻瓜可以吗？,侬伐要讲戆大可以哇？
恩今天可以上班了,恩今朝可以上班了
玩的把我都忘了啊,孛相得拿吾侪忘记特勒啊
那我们睡觉么 好想你,葛阿拉困觉吗？老想侬
把窗户留着 三点我还没回去就算了！,拿窗户留辣该 三点钟吾还没回去就算了！
早点回来我在家等你,早眼回来吾辣辣屋里相等侬
下次不要叫我老婆好不好,下趟伐要叫吾老婆好伐好
收拾了床，电话的事为何不告诉我？,收作了床，电话呃事体为撒伐特吾讲？
你就让我站在外面,侬就让吾站辣外头
幸苦你了，生意如何,辛苦侬了，生意好伐。
准备吃我的把掌！怎么了？有话吗？,准备吃吾耳光！哪能了？有闲话伐？
睡了 明天出来不,困了 明朝出来伐
出自弗罗姆父母与孩子之间的爱,出自弗罗姆父母与小拧之间呃爱
嗯 就是滴是真理,嗯 就是就是真理
明天早上打电话给我说声,明天早哴相打电话跟吾讲声
为撒！我又没得罪你,为撒！吾又没得罪侬
给谁发呢，发给我了！还没睡啊！,拨撒拧发呢，发拨吾了！还么困啊！
呵呵 老婆费心了！,呵呵，老婆费心了！
知道了，我们在睡觉,晓得勒，阿拉辣海困觉
明天给我停车,明朝跟吾停车
祝他事业有成！,祝伊事业有成！
你睡了 没有发个彩信过来,侬困了快有发则彩信过来
我睡了哦，别太晚了，注意身体啊！,吾困觉了，伐太晚了，当心身体哦！
可能吧，我觉得应该是这样！,可能伐，吾觉得应该就是搿能噶呃！
等她回了给我讲一下,等伊回了拨吾讲一下
谢了，你在干吗？,谢了，侬辣该组撒？
我是她朋友！,吾是伊朋友！
亲爱的！睡觉了没,亲爱的！困觉了吗
我现在也走正规套路的呢！,吾现在啊走正规套路呃唻！
吃了，你吃了吗？,吃过了，侬吃了伐？
那我睡觉了，那我同学没骗你呢！,葛末吾困觉了，吾呃同学没骗侬！
老婆睡了吗想你,老婆困了吗想侬
真的好想你老婆大人！,真呃老想侬呃老婆大拧！
说点好听的在睡！,说眼好听呃就困！
也不想知道什么！,啊伐想晓得啥！
我说想不起来了,吾讲想伐起来了
你在哪儿 为什么不打电话那,侬辣啊里搭 做啥伐打电话
我说个撒都不信 把人累的！,吾讲呃撒物事侪伐相信，把拧吃力呃！
你到底想要我怎么样啊！我是爱着你的？,侬到底想要吾哪能样子啊！吾是爱侬呃？
流鼻血了吗，多喝水，少吃点火大的东西,流鼻头血了，多喝茶，少吃眼上火呃物事
切随便问个人都会羡慕的哈哈哈,就随便问个拧侪会得羡慕呃哈哈哈
可是现在我一事不成阿,可是吾现在一事无成啊
没事 我睡了哦！,没事体，吾困了哦！
真的每天想的和你见面，特别今天很想你,真呃每天想特侬见面，特别今朝老想侬
你这个懒猪，这么快就睡觉了吗？,侬搿只懒猪猡，介快就困着啦？
你是不是想睡觉了 不想和我聊了,侬啊是想困觉了 伐想跟吾聊天了
好让我听听你的声音！,好让吾听听侬呃声音！
一两句话也说不清,一两句也讲伐清
老婆 我已经出来了 马上就结束了,老婆，吾已经出来了，马上就结束了
我不想回偏回我没说？,吾伐想回，偏要回吾做撒？
好吧！你也是拉！晚安！作好梦哪！,好伐！侬也是拉！困觉！作好梦哪！
哈哈！亲爱的！没撒啊！很很想你噢！,哈哈！亲爱呃！没撒啊！老老想侬呃！
别离开我 别伤害我,伐要离开吾 伐要伤害吾
两个小时都不理视我，还说想？,两个钟头都伐睬吾，还讲想？
到了我刚才在洗澡,到了，吾刚刚辣海汏浴。
你的车卖了没,侬呃车子卖忒了没
还有四分之一点五吧！,还有四分之一点五伐！
恩 宝贝！回去早点休息 安,嗯，宝贝，回去早点休息，安！
和哪个打得火热，吆？,帮啊里呃打了火热，撬？
家里，怎么了？。。,屋里向，哪能了？。。
心认的问题 我不想钱的,心认呃问题 吾伐想钞票呃
哦 到哪啊 应该还可以,哦 到阿里啊 应该还可以
陈西你怎么睡不着啊！,陈西侬哪能困伐着啊！
呵呵，那是，但是听了这话，怎么怪怪的,呼呼，那是，但是听了搿闲话，哪能怪怪呃
我想见你，可你说的话让我无言以对,吾想见侬，但是侬讲呃闲话让吾无言以对
我知道你是喜欢我的阿！,吾晓得侬是欢喜吾啊！
我的75今天都开回家了亲爱的,吾呃七十五今朝侪开会去了宝贝
哦！这么晚了还不睡啊！,哦！介晚了还伐困觉啊！
我刚到家，又饿又累,吾刚到屋里向，又饿又吃力
占时不说 到时候我给你个惊喜好嘛,现在伐好讲，到辰光吾拨侬只惊喜好伐
是的老婆 我也是想你了,是呃老婆，吾也想侬了
宝宝等一下我很快就打电话,宝宝等歇吾老快就会的打电话
老公，睡得很香吧！,老公，困辣老香呃伐
你好我现在忙 明天给你打电话阿,侬好吾现在老忙呃 明朝拨侬打电话啊
女人你睡了没有？,女拧侬困了伐啦？
乌市可又害怕面对短暂相聚,乌市可又怕面对短暂呃相聚
我要睡了。你好好休息哦。拜拜，晚安！,吾要困觉了。侬好叫休息哦。再会，晚安！
没有 在库干吗,没勒哭，做撒？
我打扰你啥了，你有病吧,吾打扰侬啥了，侬有毛病吧
我的机子开着，你到家给我打电话？,吾呃机子开辣该，侬到屋里相拨吾打只电话？
那你有想过我的感受麽？你是在害我,葛末侬有想过吾呃感受伐？侬是辣害吾
早就应该想到你们感情很好的呀！,老早就应该想到那感情是老好呃呀！
不吗 宝贝！我爱你 你要理解我,伐要嘛，宝贝！吾爱侬，侬要理解吾。
这么早啊 那岂不是快了,介早啊 葛末快勒咯
你觉得他还爱着我吗？,侬觉得伊还爱吾伐？
过两天我就停课回家去勒,过两天吾就停课回屋里向去勒。
聊死了你是不是给沉默过去了啊？,聊死特了侬是伐是拨沉默过去了？
我发睡不觉你西瓜吃完了好吃,吾困伐着侬西瓜吃光了好吃伐
我好想是你来陪我 我想你 甜甜！,吾老想是侬来陪吾，吾想侬，甜甜！
你病了吗 阑尾炎是不是,侬生毛病了吗 阑尾炎是伐是
是的啊我明天给你打电话,是呃啊吾明朝特侬打电话
我的不想睡，所以说了！,吾伐想困觉，所以讲了！
你这么晚了，怎么不睡啊,侬介晚了，哪能还伐困啦？
我刚洗完衣服了 今天又不能睡,吾刚汏好衣裳了 今朝又伐能困
你现在方便吗他不在家我想和你说话,侬现在方便伐伊伐回屋里向吾想特侬讲闲话
你是不是又在生我的气呢现在！,侬是伐是又勒勒生吾呃气啊现在！
你有什么事,侬有啥事体
咋不说话了，继绽,哪能伐讲闲话辣，继续
你别意为你是独一无二,侬伐要以为侬是独一无二呃
天天开心喔！,天天开心喔！
晚安 亲爱的 好梦 麽 嘛想你的宝,晚安，亲爱呃，好梦，么，想侬呃宝。
哈哈 奇 这段时间压力真的好大呀！,哈哈，奇，搿段辰光压力真呃老大呃！
同学在一起玩了一会儿，嘿嘿,同学辣辣一道孛相了一歇，嘿嘿
回去丐了给我说声,回去丐了特吾讲声
你现在在哪儿嘛！你还好吧！明天我休假,侬现在在啊里的侬约好伐！明朝吾休假
咱们真是很知心！,啊拉真是老知心！
嗯，知道了，我爱你想你，吻你,嗯，晓得了，吾爱侬想侬亲侬
不是很累下次少吃一点晚上睡觉盖好被子,伐是老吃力呃下次少吃一点夜里相困觉盖好被头
你先帮我看一下到底要不？要的话再打,侬先帮吾看几到底要伐？要呃闲话再打
宝贝你好 你在干什么是否已睡,宝贝侬好 侬辣海做撒是否已经困觉
你这样的怎么了,侬葛能呃哪能辣
做个好梦猪猪想你加爱你哦！,做只好梦 猪猪想侬加爱侬哦！
挂电话。。。跟谁聊的呢这么晚,挂电话。。。忒谁宁聊的介晚
是你实在太忙好不好,是侬实在忒忙好伐好。
她姐说今晚回 所以现在走,伊拉姐姐讲今朝晚头回来所以现在走
今天怎么不接电话了，接过了吗？,今朝哪能又伐接电话了，接过了吗？
是不是很烦！,是伐是老烦？
我伤心死了 不认识就算了。,吾伤心死特了 伐认得就算了。
我也不多说什么，我不希望你无药可救,吾也伐多讲啥，吾伐希望侬无药可救
明天晚上我慢慢告诉你！,明朝夜里向吾再慢慢点告诉侬
我都搬出来了！,吾侪搬出来了！
到底有什么事不让我知道吗,到底有啥事体伐让吾晓得吗
他要没感觉你们也是白着急！,伊要是没感觉那啊是白着急！
这个地方太远了。你要来吗？在同河呢,搿地方忒远了。侬要来伐？辣该同河呢
我们这里真的缺人啊！,阿拉搿得真呃缺拧啊！
你不想陪着老公啊！你不想要怎么办啊？,侬伐想陪着老公啊！侬伐想要哪能办啊？
好吧！晚安！亲你！,好伐！夜安！亲侬！
我也不是说不让儿子见他爷爷呀！,吾也伐是讲伐让儿子看到伊拉爷爷呀！
诶，我的机子杂拉啊！,哎，吾呃机器哪能啦！
说啥呢 自己倒眉呗,讲啥喃自家倒霉呀
对了 那天说的事真的要是那样么,对了 埃天讲呃事体真呃要是埃能呢
唉，善良的孩子 心胸真宽广,唉，善良呃小朋友 心胸真呃老宽广
我知道 等机会吧,吾晓得等机会伐
恩你也早点休息,恩侬也早点休息
呵呵 想你了 想跟你聊会儿！,呵呵 想侬了 想跟侬聊特歇！
摁 我知道呢老婆,摁 吾晓得呢老婆
手机爽么达,手机爽么达
呦不简单啊还会教育人啦！,呦伐简单啊还会教育拧啦！
你站在卧室的窗户我就看见你了,弄立了房间窗户边上吾就看见弄了
你在那里 你要什么？,侬辣啊里得？侬要啥么子？
行了吧你 跨你两句你还找不到北是吧！,好了伐侬 跨侬两句侬还寻伐着北是伐！
睡不着觉是不是想你老婆啦！,困伐着觉阿是想那老婆啦！
哈老婆，对不起哈！,哈 老婆，对伐起哈！
不想补呢我们一起加油好么,伐想补阿拉一道加油好伐
喜欢一个人是什么感觉,欢喜一个拧是啥感觉
你什么时候闲的没事了，在给我打吧！,弄啥辰光没啥事体了，再打拨吾吧
今天我去不了了！,今朝吾去伐了了！
好呀，以后你给我开。,好呀，下趟侬帮吾开。
不玩空间还是有好处的,伐孛相空间还是有好处
不要了 你爱咋样咋样吧！,伐要了 侬爱哪能就哪能伐！
什么提不成？我说什么了 怎么不搭话吖,啥提不成？吾讲啥了，哪能伐搭闲话了啊
还没 你在干什么呢,还没 侬辣组撒呢
明天上午等你信息,明朝上半天等侬信息
信，也集中精力奥。呵呵！,相信，也要集中精力奥。
都聊了些什么,侪聊了些啥物事
呵呵 好好呀！,呵呵 好好觉！
我说话太伤人了,吾讲闲话忒伤人了
我说了我不想听这个词你这个笨老婆！,吾讲了吾伐想听搿饿词侬搿只戆老婆！
睡着了没？我刚洗完衣服，累坏了！,困着了伐？刚汏衣裳，吃力死特了！
你不是发信息挺快的吗,侬伐是发信息蛮快呃吗
但是我不知道要怎么做？,但是吾伐晓得要哪能做？
什么事情都往好的想 心情自然就会好！,啥事体侪往好呃想 心情自然就会好！
不要惹你妈生气,伐要惹拿呣妈生气。
明天晚上来看我麽，老婆？好麽？,明朝夜里向来看吾啊，老婆？好伐？
谁你怎么想,随侬哪能想
没什么！看你没走只是好奇！你打算留着,没啥！看侬没走只是好奇！侬打算留辣海啊
一百钱怎么寄吗,一百块哪能寄吗
我很在乎你才有了猜疑你别生气,吾老在乎侬才有了猜疑侬伐生气
好的，拜拜，你早上不出操？,好呃，拜拜，侬早哴伐出操？
小猪熊熊 你啥时回来,小猪熊熊 侬啥辰光回来
别给我发可怕短信！,伐要拨吾发哈人呃短信哦！
看书呢 你怎么也不睡呀,看书呢 侬哪能还伐困呀
是不是我走了就好了？,是伐是吾走了就好了？
你的理由就是信号不好,侬呃理由就是信号伐好
这点我可以理解你！,搿点吾可以理解侬！
还没呢你睡不着吗,还没呢侬困伐着伐
我刚打电话它听到了吗,吾刚打电话伊听到了吗
好了拉没哭拉哈哈哈,好了拉没哭拉哈哈哈
也不完全是，你的家人呢？,也伐完全是，侬屋里相拧呢？
告诉她我在这很好 也很,告诉伊吾辣辣搿搭老好呃蛮好
晕 无语 唉,晕，没闲话刚，唉！
谁求知道 我们老大超级重视这个检查,撒拧侪晓得，阿拉老大超级重视搿只检查
班达，你好多错别字啊,班达，侬交关多呃白字
早上九点半到下午。,早哴向九点半到下半日。
和我哥还有小嫂子！,跟吾哥还有小阿嫂！
我不想在你面前表示出来。,吾伐想辣该侬面前表现出来。
我现在也很无聊,吾现在啊老无聊呃
要是这样的话！,要是搿能噶呃闲话！
我不跟别人说的,吾伐跟拧家讲呃
你不说算叻 噢,侬伐讲算数
你就不要写！,侬就伐要写！
我死都画不对数学的图，愁死了！,吾死也画伐对数学呃图，愁死了！
为什么不接电话来不来,为啥伐接电话来伐来
现在已经完了！手机电充满了没有,搿歇已经结束了！手机电充满了没有
那确实想了 所以我说你就是欠收拾,那确实想了 所以吾当侬是欠收拾
都想你这个猪头了,侪想侬搿只猪头了
下班勒快去休息吧！麽麽,下班勒快去休息伐！麽麽
你好好复习啊明天给我说啊！,侬好好复习啊，明朝帮吾刚！
怎么了 老婆 洗完澡了 我都睡觉了,哪能啦 老婆 浴汏好了吾已经困了
想呢么多干撒！,想呢么多做撒！
你说的啥 理解不来,侬刚呃啥，理解伐来。
呵呵 那就看你的哦,呵呵 那就看侬呃哦
你不接是吧,侬伐接是伐
你说的都是真话么,侬讲呃侪是真呃吗
所以还是不找的好！,所以还是伐寻呃好！
我躺在床上发短信呢，忽忽,吾躺辣床哴相发短消息呢，忽忽
喂 如果还是朋友，你不贤朋友穷！,喂，假事还是朋友，侬伐要嫌边朋友穷！
这边雨，也挺大的你咋还么睡？,搿边雨啊蛮大呃，侬哪能还没困觉？
今天中午你好像不高兴是吗？,今朝中哴向侬好像伐开心是伐？
真是乖啊那么我睡了,真乖葛末吾先困勒
就算你原谅我，我也不能原谅自己。,就算侬原谅吾，吾啊伐好原谅吾自家。
谢谢 晚安,谢谢 晚安
我工作了回家机会就少了！,吾工作了回家机会就少了！
何何你是我的好妹妹我不想,何何侬是吾呃好妹妹吾伐想
爱你的飞鱼！,爱侬呃飞鱼！
怎么不白天洗呢,哪能伐捏里向汏呢
就可以见你爸妈了！,就好看到侬爷娘了！
我猜你要报国标吧？,吾猜侬要报国标吧？
过回吧，在上回网,过回伐，在上回网
根 你的吗,根 侬的吗
我什么都不知道？,吾啥啊伐晓得？
我忙的要死，刚收拾完。,吾忙得来要西，刚刚收作好。
头涨涨的，自己说话感觉都听不到,头老涨呃，自家讲闲话啊觉着听伐着了
这才正常，哈哈哈。,搿才正常呃，哈哈哈。
重要 这样两颗心就会走到一起！,重要 搿那噶两颗心就会走到一道！
晚安 我的傻姑娘,夜到会，吾呃戆姑娘
没有他问过王小含的我就在旁边说的没有,没伊问过王小含呃吾就辣该旁边讲呃没
哦，那你觉得呢？,哦，葛末侬觉得呢？
没呢 在宿舍里跟她们玩儿呢,没嘞，辣宿舍里跟伊拉孛相呢
拿我没办法了吧！,拿吾没办法吧！
玩了呀，晕了呀！,孛相了呀，晕过去了呀！
买上了 过期的,买到了 过期了
我没有上学，只是随便读了呢？,吾没上学，只是随便读了读？
恩好的，有时间联系？,嗯好啊，有辰光联系？
嗯 具体事项明天见面在说，现说不清楚,嗯 具体事项明朝再讲，现再讲伐清爽
呵呵呵呵不管他那么多,呵呵呵，伐管伊葛许多
你有时间的话教教我好吗？,侬有辰光闲话教教吾好伐？
我永远爱你宝贝我想你,吾永远爱侬宝贝吾想侬
是你对我没信心。,是侬对吾没信心。
没有啊！看电视呢！你那么快到了！,没呀！看电视！侬介快就到了！
嗯 就要睡啦！呵呵,嗯 就要困啦！呵呵
那你就买明天早上的车票回来吧！,那侬就买明朝早哴呃车票回来！
你怎么不回了,侬哪能伐回了？
你以后还对我这样怎么办,侬下趟还对吾搿能样子哪能办
嗯 拿热水多泡会 消消毒就怎么痒勒！,嗯 拿热水多泡歇 消消毒就哪能痒了！
干活累不累啊,做生活吃力伐
我说完勒啊，你还在那呢？,吾讲光了，侬还辣埃搭块啊？
她问什么没有啊？,伊有没有问啥？
爱萍 今晚可以迟一点关机。,爱萍今朝夜到可以迟眼关机。
说到一半某人又睡着了。,讲到一半有个人又困着了。
哦 祝你生日快乐！,哦 祝侬生日快乐！
好了啦少装关心了,好了啦少装关心了
哦 我知道啊！,哦 吾晓得呃！
恩你是聪明蛋,恩侬是聪明蛋
我靠 现在我号上就剩李倩她们仂！,吾靠 现在吾号哴相就剩李倩伊拉勒！
20天以后吧 你是,耐天以后吧，侬是？
那就打发时间，干点自己的事！,葛末就打发辰光，做眼自家呃事体
粉红色白色银色什么色好看呀,粉红色白眼色银色撒颜色好看啊
明天还要上班吧,明朝还要上班伐
有时间一定给你打电话啊！,有辰光一定特侬打电话啊！
在家和妈过得开心不,辣屋里向跟妈过得开心伐
我睡不觉我们可以聊天么？,吾困伐着阿拉可以聊天伐？
而且我也喜欢你非常喜欢,而且吾啊喜欢侬霞气喜欢
没有了！我心烦！,没了！吾心烦！
行 这个我也不计较！,来塞 搿个吾也伐计较！
猪！你没喝多吧,猪鲁！侬没吃多吧
他还是把小女孩领养了,伊还是领养了小姑娘
我就想让你过来么,吾就想让侬过来嘛
你自己觉得你对我有多好,侬自家觉着侬对吾有多好
哦妹妹知道勒！,哦，妹妹晓得勒！
小胖子，在干吗？不要睡着了阿！,小胖子，辣该组撒？伐困着了啊！
你还是很坚强啊！,侬还是老坚强呃！
我到家了 第第知道了没有,吾到屋里相了 弟弟晓得了伐
方便请回复，恭候的哪！,方便呃辰光请回复，恭候侬！
我不是给你说了我要是在这样我不得好死,吾伐是帮侬讲了吾要是在搿能葛吾伐得好死
哈 我回来了,哈 吾回来了
我想你！我怎么会做那样梦,吾想侬！吾哪能会得做埃样子呃梦
你累了也早点睡吧，想你！,侬吃力了啊早点困伐，想侬！
不好，我想和你说说话啊！,伐好，吾想帮侬讲讲闲话啊
我叫刘亚楠，下次别叫错了。,吾叫刘亚楠，下趟伐要叫错了。
是啊 你要在的话 发生的一切你会笑死,是啊 侬要辣该呃话 发生呃一切侬会笑死
谢谢了，你玩吧，我写论文了,谢谢，侬孛相伐，吾写论文了
不能肯定什么事情！,伐能肯定啥事体！
老婆你不要睡觉我看完车了给你打电话,老婆侬伐要困觉吾看好车了拨侬打电话
在干吗呢！睡觉了没有呀！,在做撒呢！困觉了没呀！
没有麻 杂办呢撒 你也不帮我想点办法,没麻 哪能办呢 侬也伐帮吾想点办法
本人明天就开足马力去找。,本拧明朝就开足马力去寻
亲，我以后还有很多篇日志来写你的,亲，吾下趟会有交多篇日志来写侬呃
你自己好好计划吧！,侬自家好好计划伐！
你晚上是不是没吃饭,侬呀到是伐是没吃饭
必须马上回！,必须马上回！
都卟代理咱德噢！,侪伐代理阿拉德噢！
兄弟我不回来睡觉了你睡吧,兄弟吾伐回来困觉了侬困伐
我不太知道有事？,吾伐太晓得有搿事体？
两个退水闸有7个流量水。,两个退水闸一共有七个流量水。
我觉的我对你和她一样！,吾觉着吾对侬帮伊是一样呃！
好 明天晚上你会彻底失去我,好 明朝夜头侬会彻底失去吾
呵呵 我的过几天在和你联系勒！,呵呵吾侪过几天帮侬联系伐！
我在大门口旁边的椅子。,吾辣辣门口旁边呃矮凳。
朋友包括好多,朋友包括老多
放假我去找你，你有时间吗？,放假吾去寻侬，侬有辰光伐？
恩，老公晚安了。,恩，老公夜安了。
好我一有时间就去找你！,好 吾一有辰光就去寻侬！
你这两天杂不里我了，你有心事吗,侬搿两天哪能伐睬吾了，侬有心事伐
老公我睡觉了，你也睡觉吧！,老公吾困觉了，侬也困觉伐！
请问你姐姐回来了吗,请问侬姐姐回来了伐？
在跟宿舍人讨论感情得事呢！,勒跟宿舍拧讨论感情呃事呢！
老婆我也是啊！,老婆吾也是啊！
好，有你们我什么都能忍，晚安,好，有那吾撒事体侪好忍，晚安
一个人的一生，或许可以爱很多次。,一个拧呃一生，或许可以爱交关趟数。
你干活儿撒？我听歌所以还没睡觉了,侬勒该组撒呀？吾来听歌，所以还没困觉
你怎么这么晚还不睡觉,侬哪能介晚还伐困觉
我们大厦供的设备明天要安装,阿拉大楼供呃设备明朝要安装。
关了，对身体不好,关特，对身体伐好
别不理我行么，我想和你说话亲爱,别伐睬吾可以么，吾想帮侬讲话亲爱呃
你还没睡哪中午觉没睡你还挺能熬的,侬还没困啊中哴相觉没困侬啊蛮好熬呃
真的不再说话了？呵呵！,真呃伐伐再讲闲话啦？呵呵！
到了在出站口左边等你,到了辣海出口左边等侬
嘿嘿 不要回 以后一定要抱抱睡,嘿嘿 伐回 以后一定要抱抱困
贝贝早都没有了！,贝贝老早就没了！
穷富得失过眼云烟，舒心最难得,有钞票没钞票只伐过过眼云烟，过了开心侪是最难得呃事体
等我我在等机子,等吾，吾辣辣等机器
兔子指着背后的,兔子指着背后呃
我睡觉了，不要你同情,吾困觉了，伐侬同情
哦，这几天过的怎么样？,哦，搿辆天过呃哪能？
好老婆睡着了没,好老婆侬困着了伐
之内我不会考虑结婚的！,之内吾伐会的考虑结婚呃！
还没 还有一会 你不是有事吗,还没 还有一些 侬伐是有事体吗
杂勒 说吧！,哪能了 讲伐！
可能是对脾气吧 别忘了明天把地址给我,可能是对脾气伐 ，伐要忘记特明朝拿地址拨吾
想你们了 你们还好吧！,想那了 那还好伐！
晚安了,困觉了
己保重 做个好梦,己保重 做只好梦
我会的，现在家住在伊犁，唉！,吾会呃，现在屋里向住勒伊犁，唉！
怎么这就早了晚安明天好梦看，玉山,哪能搿样子就早了晚安明天好梦看，玉山
哦！就吃了两个鸡蛋！,哦！就吃了两只鸡蛋！
晚安老公，我都没看时间,晚安老公，吾都没看辰光
比你那个所谓的男朋友好很多倍！,比侬埃饿所谓呃男朋友好交关！
可能你就喜欢那所谓的乖男孩吧！,可能侬就欢喜埃有所谓呃乖男生伐！
喜欢的人在一起！,欢喜呃拧辣一道！
明天中午我上班之前去找哈你啊！,明朝中哴上吾上班之前去寻侬啊！
对不起我是也在等她！原谅我！,对伐起吾啊是辣等伊！原谅吾！
选好后发过来,选好之后发过来
祝 亲爱的老婆做个好梦！,祝 亲爱呃老婆做个好梦！
那你看着办没劲,葛侬看了办没劲
好的 做好梦吧！,好呃 做个好梦！
怎么不说话了！吓到你了,哪能伐讲闲话了！吓到侬了
哼！那好吧 你玩你的电话么电了,哼！侬好吧 侬玩侬呃电话没电电
哦，谢谢！我是上帝！,哦，谢谢！吾是上帝！
祝你做个好梦 晚安老婆！,祝侬做个好梦，再会老婆！
想怎么样随便你！ 我现在变多了！,想哪能随便侬吾变多了！
我说好 他又问我龚怎么样,吾讲好，伊又问吾龚哪能
你听谁说我有女朋友的啊？,侬听撒拧讲吾有女朋友呃啊？
可能还要发工资吧！,可能还要发工地伐！
我就说可以啊！,吾就讲来塞呃呀！
好 知道了！好好工作,好 晓得了！好好工作
小屁孩 这两天过得杂样啊,小赤佬 搿两天过勒哪能啊
明天有时间吗,明朝有辰光伐
呵呵 好 晚安,呵呵 好 明朝会
啊 我这么说的吗 那可能是我打错了,啊 吾搿能噶讲呃吗 那可能是吾打错特了
真没事，真的高兴,真没啥事体，真呃老开心
我的小心愿希望我们能一起完成好嘛？,吾呃小心愿希望阿拉好好一道完成好伐？
我给你好好说么,吾特侬好好叫讲伐
所以你照顾好自己,所以侬照顾好自家
主要原因在我，我明白！,主要原因辣吾，吾明白了！
没缘分 本来也就不是一对,没缘分，本来也就伐是一对
那你说什么早了阿？,葛末侬是讲啥啦早哴？
刚学的 你们住窑洞吗？,刚学呃那住窑洞吗？
我想你 你想我了么,吾想侬，侬想吾了伐？
回家了没有？臭老公！,回屋里了伐？臭老公！
我不想接电话！,吾伐想接电话！
已经到了 我们这停电郁闷坏了,已经到了，阿拉搿得停电了，郁闷死特了。
刚洗漱完 准备睡,刚刚汏好 准备困觉
当然做生意呀，开店,当然做生意啊，开店
